timestamp,pdf_name,error
2025-07-03T00:40:08.810302,KSZ9031RNXCA-TR_Microchip_413_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:10.197256,TL431AIDR2G_RochesterElectronicsLLC_196_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:11.569678,C85A939-62.5M-C__BlileyTechnologiesInc_22_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:12.997943,THGBMNG5D1LBAIL_Toshiba_189_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:14.224853,TPS22963CYZPR_TexasInstruments_231_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:15.663850,MM74HC175M_onsemi_514_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:17.025223,74AVC4TD245GU_NEXPERIA_0_alldatasheet.pdf,Connection error.
2025-07-03T00:40:18.387276,TLV2314QDRQ1_TexasInstruments_204_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:19.697699,GTL2005PW_PhilipsSemiconductors_295_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:21.117643,SN74LVC1G32DRLRG4_TexasInstruments_113_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:22.395247,"BCX19,215_Nexperia_19_componentsearchengine.pdf",Connection error.
2025-07-03T00:40:23.765403,LEA-6H-0-002_u-blox_429_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:25.130936,IRF8010SPBF_InternationalRectifier_358_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:26.579637,PI3PCIE3212ZBEX_DiodesIncorporated_137_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:28.019449,TPS54394PWP_TexasInstruments_5_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:29.461761,HI1206N601R-10_Laird-SignalIntegrityProducts_320_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:30.756839,IDT74FCT3807AQG_IntegratedDeviceTechnologyInc_333_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:32.113092,X1G005351000714_SeikoEpsonCorporation_1_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:33.356099,DS90LV011AQMF_slash_NOPB__TexasInstruments_8_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:34.695123,TXS0102DCUR_TexasInstruments_26_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:36.009967,HCPL-817-50AE_AvagoTechnologies_317_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:37.270049,RFPA0133TR7_Qorvo_185_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:38.553643,X1E000021064800_SeikoEpsonCorporation_8_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:40.088439,TL431AIDG_RochesterElectronicsLLC_194_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:41.628461,DT1240-04LP-7_DiodesIncorporated_198_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:43.005077,TXU0304QPWRQ1_TexasInstruments_23_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:44.384717,RT9040GQW_RichtekTechnologyCorp_32_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:45.732302,TLE2142IDR_TexasInstruments_201_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:47.027801,"PDTC114YU,115_Nexperia_58_componentsearchengine.pdf",Connection error.
